gid,customer_tweet_id,brand_tweet_id,created_at,context,customer_message,brand_reply,n_context_turns,customer_seen_in_kb,intent,should_escalate,escalation_reason,note,taxonomy_gap,insufficient_context,multi_intent,evidence_unavailable
g010,453894,453892,2017-11-30 22:50:57+00:00,,It would be cool if would fix their shit so I dont have to restart my computer and router to connect to wifi,"We know you need a reliable Wi-Fi connection. We're happy to help. To get started, which macOS version is installed? Do you receive an error when you try to connect to Wi-Fi?",0,False,connectivity,False,none,hostile but concrete Wi-Fi symptom,False,False,False,False
g011,500067,500066,2017-12-01 18:50:05+00:00,customer: I️ used lomography 100 speed film for the last pics I’ve posted. Honestly I️ wasn’t so crazy about it. I️ highly doubt I’ll use it again. 🤷🏽‍♀️,Why tf is this glitch still fuckn up? what do I️ need to do. This shit is annoying. 😩,"We've got steps that can solve that. Which version of iOS are you using? You can check at Settings > General > About. If you're not on iOS 11.1.1 or higher, backup with these steps: <url> then update and let us know in DM if that still happens. <url>",1,False,keyboard_text_bug,False,none,vague 'glitch' but I-bug glyph visible in text; context off-topic,False,False,False,False
g012,489608,489607,2017-12-01 15:46:37+00:00,,"What happens to technical support in Brazil? They lied to me! Of all the companies the only one not expecting this was . Brazil fail! repair number <LONG_ID>. I am very very disappointed. But that's my problem, said Apple Brazil.",Thanks for reaching out to us. We're always happy to help. Send us a DM with more details. We'd be happy to look into this with you there. <url>,0,False,account_store_repair,True,private_info,"repair number, Brazil support complaint",False,False,False,False
g013,512534,512536,2017-12-01 23:41:06+00:00,"customer: I don’t understand why my purchase ain’t working I need It fixed or I’m finna blow y’all notifications up you decide!
brand: We'd like to help guide you in the right direction to find a solution. What's happening?",I purchased the new Miguel Album It says it’s downloaded to my phone but It will not let me play the album,Do you receive an error or message? Let us know in DM. <url>,2,False,apps_services,False,none,purchased album won't play,False,False,False,False
g014,105423,105422,2017-11-30 17:58:58+00:00,,"Hi, how can I check my iPhone's battery health? Any way without going to an Apple Store?",We can definitely understand your concern. We would want to make sure our battery health is good too. Let's partner together in DM and go from there. <url>,0,False,battery_power,False,none,how-to: battery health check,False,False,False,False
g015,487858,487856,2017-12-01 14:47:51+00:00,,I have an iPad Mini 4 that has automatic updates turned on but never does them automatically. Tried turning off/on. Thoughts?,"We'll do all we can to assist. Are you running iOS 11.1.2? Also, at Settings > [your name] > iTunes & App Stores, are Auto Updates and Use Cellular Data both turned on? Or are you trying to do auto updates whilst connect to Wi0Fi?",0,False,apps_services,False,none,auto-updates not running; no update bucket in guide; toggling setting is not a standard step,True,False,False,False
g016,601373,601370,2017-12-03 21:22:39+00:00,,Why tf is my mac taking 20 min to start !!! Fix it this new update fvckin sucks already,Let's work together to figure this out. What are you seeing on the screen when your Mac is starting up?,0,False,performance_crash,False,none,,False,False,False,False
g017,2967864,2967863,2017-11-29 23:21:00+00:00,customer: Acabo de recibir un Email “aparentemente” legitimo pero que me huele a hoax #applephishing #apple <url>,podeis verificar si es un hoax realmente por favor?,We offer support via Twitter in English. Get help in Spanish here: <url> or join <url>,1,False,non_english,False,none,,False,False,False,False
g018,447420,447422,2017-12-03 11:57:03+00:00,"customer: why don’t the activity rings on my Apple Watch sync with the Workout app for walking!?!!?
brand: Let's look into this together. When you start walking do you start the workout in the Workout app? Here's an article to help with this: <url>","Yes, I’ve used this app for two years.","What version of watchOS, and iOS are you running on your devices? DM us back. <url>",2,True,apps_services,False,none,Activity/Workout app sync,False,False,False,False
g019,2948295,2948293,2017-11-29 16:02:33+00:00,,Yo I have been trying to recover my account since nov 20th and cannot access my account whatsoever and cant use my phone help,We'd like to help! Are you referring to recovering your Apple ID?,0,False,account_store_repair,True,private_info,Apple ID recovery,False,False,False,False
g020,503643,503642,2017-12-01 19:32:04+00:00,,another keyboard glitch. Fix I.T,Hi. We'd like to help with this. DM us and tell us the device you have and the version OS you're running. <url>,0,False,keyboard_text_bug,False,none,,False,False,False,False
g021,491442,491441,2017-12-01 16:21:15+00:00,,is worth Billions of dollars and can’t fix this it ( I.T ) problem. First it was the I crap bullshit now it’s this I.T come on get it together already. So frustrating,"We can assist with this issue. As a first step try this. Go to Settings > General > Reset and choose Reset Keyboard Dictionaries. Then reboot the device and test. If the issue persists after that, let us know what device and iOS version your on via a DM. <url>",0,False,keyboard_text_bug,False,none,,False,False,False,False
g022,2925631,2925630,2017-11-29 03:29:24+00:00,,"So, What’s the deal when I’m playing a podcast in , the lock screen shows player controls for YouTube(?), and if I take my AirPod out for a second and put it back in, starts playing a song I listened to a week ago, interrupting my podcast?",We appreciate you reaching out to us. Not having your Music App work correctly would concern us too. That being said let partner together to resolve this. DM us so we can get started. <url>,0,False,apps_services,False,none,Podcasts/Music playback behaviour with AirPods,False,False,False,False
g023,72149,72151,2017-11-30 15:11:19+00:00,"customer: my phone is suuuper slow lately, wtf :-(
brand: We can help with iPhone performance. Do you know what version of the iOS is on the device? Also, are you seeing this issue with any specific apps or usage? Do you do anything to restore function?","im using ios 11, it’s super laggy whenever i receive a notification or sometimes when im typing a message, after i hit send itll cut off the last few letters i typed",Thanks for that info. We'd like to take a further look into this. Let's meet in DM. <url>,2,False,performance_crash,False,none,first symptom lag; dropped letters are a consequence of lag rather than autocorrect bug,False,False,True,False
g024,563067,563066,2017-12-02 22:55:55+00:00,,"Thanks I love plugging your dongle into my phone and getting the message, ""This device accessory is not supported"" ??????????????","Help is here! What iOS version is currently installed on your device? Since experiencing the issue, have you tried restarting your device?",0,False,connectivity,False,none,"accessory not supported; port/cable issue, no damage stated; troubleshoot first",False,False,False,False
g025,489615,489613,2017-12-01 15:30:17+00:00,"customer: Hi, i been experiencing a weird bug on my 2015 MBP today. I have documented it here on <url> (apple's stackexchange). I cant find any solutions anywhere :(
brand: That's definitely not expected behavior and we're happy to do everything we can to help. To start, can you tell us which version of software you're using on your MacBook Pro? You can find this by going to the Apple at the top left corner and selecting ""About This Mac"".",Turns out it was one of Synergy 2 beta background service that was crashing and restarting over and over again. Problem fixed :),"We’re glad you were able to get to the bottom of this, we appreciate the time you’ve spent with us to get this resolved. Enjoy the rest of your day!",2,False,other,False,none,closure,False,False,False,False
g026,452621,452620,2017-11-30 22:07:09+00:00,,Anyone ever seen a MacBook do this? Only happens for a split second when I exit standby and pretty sure it only started doing it since I updated to High Sierra. ? <url>,Thanks for reaching out. We're happy to see what we can do to assist. Send us a DM and we'll follow up there. <url>,0,False,performance_crash,False,none,"screen glitch on wake, no physical damage stated",False,False,False,True
g027,602365,602364,2017-12-03 21:26:14+00:00,,Bruh my iPad won’t even connect to WiFi nor will the settings app open WTF,We'd love to help you with your iPad! Which version of iOS are you using? When did this problem start?,0,False,connectivity,False,none,first symptom Wi-Fi; Settings not opening second,False,False,True,False
g028,2949592,2949591,2017-11-29 16:41:52+00:00,,When will we get the TV app in the UK?,We appreciate your interest and encourage you to stay up to date on Apple news here: <url>,0,True,other,False,none,product availability question,False,False,False,False
g029,481837,481839,2017-12-01 15:37:51+00:00,"customer: The function ""paste"" (command + V) is not working in my #MacBookAir since the last security update. Can you help me?
brand: We'd like to look into this with you. To get started, does your Command functions work? Since noticing the issue, have you restarted the Mac. Does it resolve the issue?","Command is working. The problem is in the software, not in the hardware. I restarted a few times and the problema remains.",Thank you. We'd like to explore additional support options. Send us a DM including the country you're located in. We'll continue there. <url>,2,False,apps_services,True,repeat_contact,Cmd+V shortcut broken; restarted several times already. Intent hard: no clipboard bucket,True,False,False,False
g030,543745,543744,2017-12-02 08:05:05+00:00,,my iphone on ios 11.1.2 keeps respringing every minute. What can I do?,We're here to help. Which iPhone model are you currently using and what displays immediately on the screen for you when your device unexpectedly restarts? Let's also try the steps here: <url>,0,False,performance_crash,False,none,,False,False,False,False
g031,2893396,2893395,2017-11-28 14:17:19+00:00,,"Hi, are you thinking of doing anything to solve the battery problem? Got worse after every update. My iPhone 6 died because of you and I’m very angry!","If you're running into issues with the battery on your iPhone, we'd like to help you out. Please meet us in DM with the following information: - Current iOS version on iPhone: - More specifics about the power / battery issues you're seeing: <url>",0,False,battery_power,False,none,,False,False,False,False
g032,101262,101260,2017-11-30 17:03:06+00:00,,Why does the iPhone have “I.T” as the autocorrect for “it”??!,Thanks for reaching out. We'd be happy to help. Which version of iOS are you using? You can check in Settings > General > About.,0,False,keyboard_text_bug,False,none,,False,False,False,False
g033,553649,553648,2017-12-02 16:21:56+00:00,,help me fix my mac,"Hey there, we'd love to help you out with your Mac! Meet with us in DM, and let is know exactly what issues you're experiencing, and we can assist from there. You can meet us in DM, here: <url>",0,False,general_complaint,False,none,no symptom; ask clarifying question,False,True,False,False
g034,96980,96978,2017-11-30 16:01:03+00:00,,Why is the double tap summoning Siri? <url>,We're here to help. Have you restarted your iPhone since applying this change in settings? <url>,0,True,apps_services,False,none,Siri triggered by double tap,False,False,False,True
g035,501516,501515,2017-12-01 19:19:13+00:00,,"I don't want to enter credit card details into my daughters new IPhone. It's none of your business, how do I get around it?",We'd like to go over a few pieces of information about that. Let's move over to DM. Join us here: <url>,0,False,account_store_repair,False,none,Apple ID payment method; public answer: choose None,False,False,False,False
g036,2974462,2974465,2017-11-30 02:35:24+00:00,"customer: why can’t one access photos that are in the cloud? What’s the point of having photos on your phone then or paying for iCloud?
brand: We want you to be able to access your photos. What exactly are you seeing happen?",so they’re pretty much not functional,Thanks for letting us know. Check out this helpful article about iCloud Photo Sharing for more info on how to share your photos: <url>,2,True,data_loss_sync,False,none,,False,False,False,False
g037,556049,556047,2017-12-02 20:13:27+00:00,,Hi. please help <url>,Let's get you to the best place for help with your Photos. Please reach out to our phone team here: <url>,0,False,general_complaint,False,none,"no symptom in text, image only",False,True,False,True
g038,598108,598106,2017-12-03 19:35:37+00:00,,"Dear why is it when a new IOS update comes out after new phone released, battery life NEVER stays the same. Dies faster. I have 95% on low power mode and now 89% from twitting this","We'd love to help. Can you DM us your complete software version from Settings > General > About, next to version? <url>",0,False,battery_power,False,none,,False,False,False,False
g039,590946,590948,2017-12-03 17:22:54+00:00,"customer: why does my camera keep resetting to flash on auto, HDR on, and Live on every time I close and then open my camera app?
brand: We're happy to help To start, what version of iOS are you running? Find that in Settings > General > About.",<url>,We'd recommend first backing up - <url> Then updating to our latest version which is 11.2 by going to Settings > General > Software Update. Once you have updated please let us know if the issue persists and we'll go from there.,2,False,apps_services,False,none,image-only reply in Camera settings thread,False,False,False,True
g040,455048,455046,2017-11-30 23:17:55+00:00,,"There is a glitch in the Mail app in the new #iOS 11.1.2, every time I get an email notification and press either delete or mark as read. It Still keeps it unread in the app. 🤯🤯🤯 #apple",We'd be happy to take a look at what's causing your Mail to not get flagged as read. Which device are you seeing this on?,0,False,apps_services,False,none,,False,False,False,False
g041,558388,558389,2017-12-02 22:42:05+00:00,"customer: I’m so glad my phone shuts off every 30 seconds!!! Wtf is this <url>
brand: We'd love to help you with this. Follow these steps to stop your iPhone from restarting, then back up your iPhone and update to iOS 11.2: <url> Let us know how it goes!
customer: I’ve tried to restart, it just says an error has occurred since my phone keeps shutting off
brand: Were you able to work on turning off notifications for each app as the previous link helps walk through? This will help stop the restarts so that you may update.","Okay, that let me update my phone! So we’ll see if it helps with the random shutting off/loading screen.","Great! Keep us informed, and let us know if you have any additional concerns in the future we can assist with.",4,False,performance_crash,False,none,"progress update, not a closure",False,False,False,False
g042,599143,599142,2017-12-03 19:47:11+00:00,,"iOS 11.2 supposedly adds Apple Pay to iMessage, can not seem to figure out how to enable it for the life of me. Halp! #iOS112 #ApplePay #iMessage","If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week.",0,False,apps_services,False,none,Apple Pay in iMessage how-to,False,False,False,False
g043,483187,483186,2017-12-01 07:57:48+00:00,,"Remember when on iPhones every time you pressed “I” it brought up some weird characters? Now it’s happening when you spell “it”. Wtf is wrong with y’all, ?","We'd like to learn more about what's going on so we can assist. When you have a moment, please send us a DM and we'll continue there: <url>",0,False,keyboard_text_bug,False,none,,False,False,False,False
g044,566808,566806,2017-12-03 01:14:06+00:00,,"apple store is contimuosly saying ""the Payment has been rejected. Confirm Payment information. We have done so and it is still saying the same thing. Help.",We certainly would like to get this looked at. Please contact our iTunes Store team here: <url> They will be the best resource for this issue.,0,True,account_store_repair,True,private_info,payment rejected,False,False,False,False
g045,2894776,2894775,2017-11-28 15:19:56+00:00,,"PLEASE let users roll back to IOS10, my 5S battery now goes from 100% to 40% within a few hours (with minimal usage&no background traffic) & then switches itself off asking to be recharged at 40%! I've had to buy a portable power pack, sick of it as are many others!","We'd like to help with your battery life. Migrating your device to a previous iOS can do it harm. We definitely do not recommend doing this. Please send us a DM, and we'll look into your battery together. <url>",0,False,battery_power,False,none,,False,False,False,False
g046,589533,589532,2017-12-03 15:15:17+00:00,,">> Looking to buy a macbook air as a student >> unfortunately your toll free is been busy for 20 mins now suggest a best way to know few details >> pricing, student discount and more Nearest Store >> Orion Mall Rajajinagar Bangalore",Thanks for reaching out. Our sales team is best equipped to help you with this. To contact them please follow this link: <url>,0,False,other,False,none,sales/pricing question,False,False,False,False
g047,2918893,2918895,2017-11-29 00:48:57+00:00,"brand: It's official: we're now on YouTube. Subscribe and get helpful tips, tricks, and how-tos – straight from Apple. <url> <url>
customer: Can Apple stream movies and music on my phone and or apple watch like i do similar to Netflix and or Hulu
brand: Great question! You can stream any of your purchased songs and videos as long as you have a good internet connection. You can also download any purchased media for offline use with these steps: <url>",Thank you,No problem and just reach out again if you need more help. Have a good one!,3,False,other,False,none,thanks,False,False,False,False
g048,559077,559076,2017-12-02 21:42:46+00:00,,hey can you check the dm i sent!,"We've checked, and we're not seeing any DMs from today. Please use the link below and tell us what's happening. We'll be happy to see how we can help. <url>",0,True,other,True,repeat_contact,"meta request about DM, no symptom",False,True,False,False
g049,81830,81829,2017-11-30 05:11:18+00:00,,"what's wrong with you guys, I ordered 7 plus gold, and got 7 jet black. How can you beso irresponsible.",We can help out. Was this purchased through the Apple Online Store?,0,False,account_store_repair,True,private_info,wrong order delivered,False,False,False,False
g050,553491,553489,2017-12-02 16:41:55+00:00,"customer: Apple Pay Cash is here! <url>
customer: I have updated multiple devices to 11.2 and I have no option for Pay Cash on any of them.",Same. Frustrating.,"For customers in the US who are excited about Apple Pay Person to Person Payments and Apple Pay Cash, those features require iOS 11.2 and will begin rolling out early next week.",2,False,apps_services,False,none,Apple Pay Cash not available yet,False,False,False,False
g051,560391,560390,2017-12-02 22:34:54+00:00,"customer: Still convinced new updates are killing my previously great iPhone battery... Drains super fast & charged from 66% to 84% in 1.5hrs...on low battery mode, no apps running. <url>",<url>,We're happy to continue working on this with you. Let us know in DM if you've had a chance to update to iOS 11.2. <url>,1,True,battery_power,False,none,image-only reply in battery thread,False,False,False,True
g052,2962922,2962921,2017-11-29 21:01:20+00:00,,"how do I get podcast app to stop automatically downloading every available episode. Streaming is good, I keep running out of storage because of podcast always downloading. Help!","We are glad to help you. To manage your Podcast subscription, take a look at our iOS 11 User Guide: <url>",0,False,apps_services,False,none,Podcasts auto-download setting; storage is consequence,False,False,False,False
g053,2965390,2965389,2017-11-29 22:16:48+00:00,"customer: my imessage is not syncing with my mac. It was working fine until today. Have updated both my iphone and macbook to the latest iOS
customer: Hey there, I had a similar problem also. There was something funky with Apple's push servers. Can you change your DNS to 8.8.8.8 (google) and see if that makes a difference? (see attached tweet) - just to test <url>",Thanks will give it a shot!,"Next, are your Preferences and Settings set up as shown here? <url>",2,False,other,False,none,acknowledgement/closure of peer suggestion,False,False,False,False
g054,484454,484453,2017-12-01 10:03:46+00:00,,"Updated the IOS on my iphone 5S and, just as others warned, it seems to have halved the battery life. Bad bad #notmynextphone",We are here to help. DM us your exact iOS version and we can take a look at this. <url>,0,False,battery_power,False,none,,False,False,False,False
g055,590889,590888,2017-12-03 15:55:35+00:00,,. Since iOS 11 I can literally watch my battery percentage drop while looking at the screen. No apps open. No battery problems with iOS 10. Apple please fix. In 30 min percentage dropped from 92% to 52%.,Thank you for reaching out to us about this. Your battery life is important to us. We'd like to look deeper into what could be going on with your battery. DM us the exact iOS you are using to get started. <url>,0,False,battery_power,False,none,,False,False,False,False
g056,2942169,2942167,2017-11-29 05:43:59+00:00,,Why isn't my iPad Air updating?,That’s a good question. Let’s dig a little deeper to see what we can find out. What happens when you try to update? Do you get an error? Are you updating over Wi-Fi or through iTunes on a computer?,0,True,apps_services,False,none,"iOS update failing; no update bucket, same as g015",True,False,False,False
g057,1442565,1442564,2017-12-02 03:11:50+00:00,,hey could you guys add an app for the Apple Watch that when you lose your phone it acts like sonar and it beeps the closer you get to it? My wife constantly loses her phone and I’m sure Shes not the only one who has this problem,"We actually have several methods that she can use to locate her iPhone. Check out the following article: <url> If you have any questions or concerns, send us a Direct Message. We'll pick it up from there. <url>",0,False,other,False,none,feature suggestion,False,False,False,False
g058,2871723,2871722,2017-11-28 02:43:27+00:00,,every month I keep getting the same alert about billing and normally it’s because I over pay but this month I didn’t buy anything from any game and I still got it FIX IT I literally can’t download anything not even updates,Our iTunes Store support can help. Reach out to them here: <url>,0,False,account_store_repair,True,private_info,billing alert blocks downloads,False,False,False,False
g059,446457,446460,2017-11-30 21:51:36+00:00,"customer: new authentication process does not work. The code you send via text is not recognised by the new OS security update...so...?
brand: We'd like to help. Could you explain exactly what you are trying to do?","On the fourth attempt, the authentication codes matched up. Problem resolved.",We're glad to hear that it's working for you. Let us know if you have any other questions we can help with. We're here for you.,2,False,other,False,none,resolved closure,False,False,False,False
g060,480562,480561,2017-12-01 04:38:53+00:00,,bought iPads for the kids for Christmas (6&9). Would like to learn about security/parental controls to put on. Appointment at local Genius Bar the best way?,Hi there! We certainly understand wanting to set up parental controls on your kids' iPads. Check out the following article regarding parental controls and let us know if you have any questions: <url>,0,False,other,False,none,how-to on parental controls; Genius Bar only a proposed avenue,False,False,False,False
g061,565032,565031,2017-12-03 00:22:56+00:00,,y’all ever gonna fix the i?,"Thanks for contacting us, this issue was resolved with the newest software update. Please visit: <url>",0,False,keyboard_text_bug,False,none,,False,False,False,False
g062,508256,508255,2017-12-01 21:30:02+00:00,,I can’t believe lied to me smh,We'd like to look into the experience you've had. Could you join us in DM with more info on what's happening? <url>,0,False,general_complaint,False,none,'lied to me' vague but not abusive; clarify,False,True,False,False
g063,2943377,2943376,2017-11-29 07:22:29+00:00,,Morning what does this continuous pop-up mean please? I’m on the latest IOS. Thanks - Tommie. <url>,"Good morning to you as well, and thank you. It looks like an ad pop-up, certainly not Apple affiliated. Check out this article to get rid of it, and prevent these in the future: <url>",0,False,general_complaint,False,none,Safari ad pop-up,False,True,False,True
g064,2873390,2873389,2017-11-28 03:44:10+00:00,,I restored my new iPhone X and my photos and videos didn’t transfer over any reason why? Also my speaker is making a weird ticking noise not sure why maybe because I have the plastic still on?,We'll be happy to help. Are your photos on iCloud Photo Library? We would suggest removing the plastic. DM us and we'll continue there. <url>,0,False,data_loss_sync,False,none,first symptom photos missing after restore; speaker tick second,False,False,True,False
g065,146705,146706,2017-11-29 01:17:11+00:00,"brand: Thanks for reaching out an including the photo for us! We can definitely look into this further with you. Let us know if this helps: <url>
customer: It's still not working any site social media related crashes talking a ""secure connection to the server""
customer: App or website. Even when I used Google chrome. It's the phone
brand: Does this happen when using both Wi-Fi and cellular data?",Yes today when I went to Apple for help everything worked once connected to the Apple store WiFi and as soon as I left it started acting stupid again,Let's take a deeper look into this to determine the issue. Send us a DM with your iPhone model and iOS version from Settings > General > About. <url>,4,True,connectivity,True,repeat_contact,"2 brand turns, Apple Store visit already, no progress",False,False,False,False
g066,554868,554867,2017-12-02 16:59:21+00:00,,mi teléfono se está reiniciando muy frecuentemente 😔 que sucede ?,We offer support via Twitter in English. Get help in Spanish here: <url> or join <url>,0,False,non_english,False,none,,False,False,False,False
g067,505140,505139,2017-12-01 20:05:09+00:00,,Every iPhone update makes my phone that much slower ... Stop it,Let's look in to this together. Please tell us a bit more about what's going on. Do you notice issues with any particular apps?,0,True,performance_crash,False,none,,False,False,False,False
g068,2968980,2968979,2017-11-29 23:41:14+00:00,,WHY DOES MY PHONE DIE ON 25%,"Let us help you with your battery performance. When did this start? Also, which version of iOS are you on? Find it here: Settings > General > About.",0,False,battery_power,False,none,,False,False,False,False
g069,2975674,2975673,2017-11-30 02:46:27+00:00,,After your emergency patch today I can no longer connect to network shares using my credentials. What broke?,Please send us a Direct Message and provide us more details. From there we'll see what we can do to help. <url>,0,False,connectivity,False,none,network shares after root patch; public fix exists,False,False,False,False
g070,593584,593582,2017-12-03 16:52:26+00:00,,Mn mobiel heeft net letterlijk 13 minuten Apple logo uit grijs scherm gegeven word er langzamerhand een beetje heel erg gek van. Heb de nieuwe update ook al.. dit is al de 30e x vandaag ofz. Vanochtend 12x in 1 uur.. <url>,We offer support via Twitter in English. Contact us for help in your preferred language here: <url>,0,False,non_english,False,none,Dutch,False,False,False,True
g071,2890683,2890681,2017-11-28 11:34:09+00:00,,"hey there, what do I️ need to do to fix the question mark in a box and exclamation point that pops up when I️ use the “I️” word?? #QTA",A recent update should resolve this issue for you. Be sure to back up and then update: <url> Still having issues? Send us a DM. <url>,0,False,keyboard_text_bug,False,none,,False,False,False,False
g072,561769,561768,2017-12-02 22:53:23+00:00,,My lightening cable just started to smoke,We're here to help. We'd also like to gather some additional details from you. Please meet us in DM.,0,False,hardware_damage,True,safety,cable smoking,False,False,False,False
g073,97053,97052,2017-11-30 15:43:11+00:00,customer: the new iOS update is fucking with my battery,fix this,"Battery life, and usability is very important. We want to ensure we do all we can to get this working for you. In order to find you the information you need, we need some details from you. Please click here, to meet us in DM: <url>",1,False,battery_power,False,none,in light of context,False,False,False,False
g074,548190,548188,2017-12-02 11:14:13+00:00,,After the latest iOS update in my mac and Iphone 7 It seems that my mac and iphone both are facing speed issues they are getting hanged and being lagged.,"We'd like to help with your issues. Let's start with your iPhone. Have you had a chance to update to iOS 11.2? If not, let's follow the steps here to back up and update: <url> Let us know if this helps and we'll go from there.",0,False,performance_crash,False,none,,False,False,False,False
g075,447447,447446,2017-11-30 19:40:55+00:00,,1st world problem time Anyone help with transfer data from 2011 MacBook Pro (with USB2 Firewire Thunderbolt 1 and Ethernet ports) to new MacBook Pro?,Thanks for reaching out. Please check out the following article for information about that: <url>,0,False,data_loss_sync,False,none,Mac-to-Mac migration how-to; closest bucket,False,False,False,False
g076,584824,584823,2017-12-03 07:47:11+00:00,,Can I use my wired printer having USB on my MacBook pro which has has c type?..Pls suggest if USB hub and c-type to USB female will work for it?,"The configuration you've described will work just fine, however if you'd like to avoid using a hub, you could also opt to purchase a USB-B to USB-C cable instead to connect your printer directly to your MacBook Pro.",0,False,other,False,none,product/accessory question,False,False,False,False
g077,2940347,2940345,2017-11-29 05:22:09+00:00,,My iPhone X is rather warm and glitchy,We are here to help whenever possible. Let us know the specific issue you are seeing with your iPhone to get started.,0,False,battery_power,False,none,first concrete symptom 'warm' (overheating); glitchy vague,False,False,True,False
g078,587019,587017,2017-12-03 11:47:48+00:00,,"I am not able to click on any form of back up on iTunes, the box is greyed out...","We'd love to help you with making a backup. So that we're sure to be on the right path, please tell us which device you're trying to back up, and which iOS version is installed on it currently. Also, is this device connected via Wi-Fi, or via USB?",0,False,data_loss_sync,False,none,iTunes backup greyed out,False,False,False,False
g079,542426,542425,2017-12-02 07:13:03+00:00,,Why are devices crashing on iOS 11.1.2!,"If you're having this issue on your iPhone, check out: <url> DM us if you have any questions. <url>",0,False,performance_crash,False,none,,False,False,False,False
g080,2952369,2952367,2017-11-29 17:59:22+00:00,,help my imessage keeps saying “not delivered”,"We're happy to help. A few questions for us to get started: Are you sending from an iOS device, a Mac, or both? Also, is it all messages or just ones with attachments? Thanks!",0,False,apps_services,False,none,,False,False,False,False
g081,2766105,2766104,2017-12-02 08:44:59+00:00,,Can fix the mf I️ !,"We've got a solution for that issue with your iPhone. Backup using these steps: <url> then update your iPhone to iOS 11.2, and let us know in DM if that happens after the update. <url>",0,False,keyboard_text_bug,False,none,,False,False,False,False
